sgx,size,initTime,readTime,writeTime
sgxv2,256,6511.0,3581.030,8099.67
sgxv2,512,11709.0,4233.130,9536.95
sgxv2,1024,22340.0,5279.850,11890.11
sgxv2,2048,43334.0,6074.490,13584.28
sgxv2,4096,84370.0,7352.80,16427.15
sgxv2,8192,168265.0,8470.040,18702.66
sgxv2,16384,327256.0,10116.830,22226.37
sgxv2,32768,674905.0,11487.80,24942.54
sgxv2,65536,1307620.0,13341.930,28916.38
sgxv2,131072,2679682.0,14966.40,32058.99
sgxv2,262144,5401040.0,16556.730,35210.58
sgxv2,524288,10417937.0,18906.990,40054.88
sgxv2,1048576,21474177.0,20783.90,43849.32
sgxv2,2097152,42995132.0,23739.920,49894.44
sgxv2,4194304,82851371.0,25815.830,53902.14
sgxv2,8388608,170698216.0,29331.160,60868.62

sgxv1,256,6503.0,3586.93,8108.81
sgxv1,512,11570.0,4222.81,9518.45
sgxv1,1024,22129.0,5271.47,11879.21
sgxv1,2048,43106.0,6076.08,13581.54
sgxv1,4096,85859.0,7360.55,16440.56
sgxv1,8192,167568.0,8452.32,18687.56
sgxv1,16384,334765.0,10129.19,22260.88
sgxv1,32768,668222.0,11481.53,24900.0
sgxv1,65536,1339371.0,13396.27,28951.93
sgxv1,131072,2666884.0,14968.13,32048.81
sgxv1,262144,5365092.0,16606.88,35247.62
sgxv1,524288,10511647.0,18891.64,40092.61
sgxv1,1048576,20720893.0,20688.29,43673.26
sgxv1,2097152,43422874.0,23795.69,49919.53
sgxv1,4194304,83589571.0,25819.89,53945.03
sgxv1,8388608,168270443.0,29119.76,60404.61
