size,leftInitTime,leftBuildTime,leftProbeTime,rightInitTime,rightBuildTime,rightProbeTime
256,9176,1312470,538458,6895,1327574,553053
512,17172,3168987,1328501,14689,3207930,1338984
1024,34219,8177974,3396039,31519,8244862,3418541
2048,70682,18297296,7761279,67293,18407038,7777770
4096,149524,44109046,18023407,145027,44205625,18053926
8192,318380,100601228,40596676,311853,100800486,40728626
16384,684524,240809909,95712272,675626,241608559,95826834
32768,1450126,539263998,214454182,1449591,539959784,214724747
65536,3113082,1261312567,494485619,3111829,1262267896,495397117
131072,6697802,2802094484,1098516761,6706573,2804296984,1100486930
