algorithm,dataset,window,batch,input-tuples,time,throughput,latency,peak-rss-kb,status
FK-MERG-L3,synth-1,1048576,65536,6291456,26172685,0.240400,4.1597,207096,ok
FK-MERG-L3,synth-1,2097152,65536,12582912,101016408,0.124600,8.0257,403852,ok
FK-MERG-L3,synth-1,4194304,65536,25165824,438758238,0.057400,17.4216,797024,ok
FK-MERG-L3,synth-1,8388608,65536,50331648,1813616539,0.027800,35.9712,1583504,ok
FK-MERG-L4,synth-1,1048576,65536,6291456,30402100,0.206900,4.8333,207192,ok
FK-MERG-L4,synth-1,2097152,65536,12582912,98964084,0.127100,7.8678,403796,ok
FK-MERG-L4,synth-1,4194304,65536,25165824,433561692,0.058000,17.2414,797120,ok
FK-MERG-L4,synth-1,8388608,65536,50331648,1972907015,0.025500,39.2157,1583488,ok
FK-SORT-L3,synth-1,1048576,65536,6291456,84008620,0.099900,10.0100,207352,ok
FK-SORT-L3,synth-1,2097152,65536,12582912,356134520,0.047100,21.2314,403824,ok
FK-SORT-L3,synth-1,4194304,65536,25165824,1648323955,0.020400,49.0196,797036,ok
FK-SORT-L4,synth-1,1048576,65536,6291456,73994745,0.113400,8.8183,207192,ok
FK-SORT-L4,synth-1,2097152,65536,12582912,324470391,0.051700,19.3424,403708,ok
FK-SORT-L4,synth-1,4194304,65536,25165824,1548663489,0.021700,46.0829,797036,ok
FK-MERG-L3,synth-1,16777216,65536,100663296,7425229899,0.013600,73.5294,3156304,ok
FK-MERG-L4,synth-1,16777216,65536,100663296,8482385279,0.011900,84.0336,3156392,ok
FK-SORT-L3,synth-1,8388608,65536,50331648,7063743975,0.009500,105.2632,1583512,ok
