algorithm,dataset,window,batch,input-tuples,time,throughput,latency,peak-rss-kb,status
FK-MERG-L3,synth-1,1048576,65536,6291456,26172685,0.240400,4.1597,207096,ok
FK-MERG-L3,synth-1,2097152,65536,12582912,101016408,0.124600,8.0257,403852,ok
FK-MERG-L3,synth-1,4194304,65536,25165824,438758238,0.057400,17.4216,797024,ok
FK-MERG-L3,synth-1,8388608,65536,50331648,1813616539,0.027800,35.9712,1583504,ok
FK-MERG-L4,synth-1,1048576,65536,6291456,30402100,0.206900,4.8333,207192,ok
FK-MERG-L4,synth-1,2097152,65536,12582912,98964084,0.127100,7.8678,403796,ok
FK-MERG-L4,synth-1,4194304,65536,25165824,433561692,0.058000,17.2414,797120,ok
FK-MERG-L4,synth-1,8388608,65536,50331648,1972907015,0.025500,39.2157,1583488,ok
FK-SORT-L3,synth-1,1048576,65536,6291456,84008620,0.099900,10.0100,207352,ok
FK-SORT-L3,synth-1,2097152,65536,12582912,356134520,0.047100,21.2314,403824,ok
FK-SORT-L3,synth-1,4194304,65536,25165824,1648323955,0.020400,49.0196,797036,ok
FK-SORT-L4,synth-1,1048576,65536,6291456,73994745,0.113400,8.8183,207192,ok
FK-SORT-L4,synth-1,2097152,65536,12582912,324470391,0.051700,19.3424,403708,ok
FK-SORT-L4,synth-1,4194304,65536,25165824,1548663489,0.021700,46.0829,797036,ok
FK-MERG-L3,synth-1,16777216,65536,100663296,7425229899,0.013600,73.5294,3156304,ok
FK-MERG-L4,synth-1,16777216,65536,100663296,8482385279,0.011900,84.0336,3156392,ok
FK-SORT-L3,synth-1,8388608,65536,50331648,7063743975,0.009500,105.2632,1583512,ok
FK-MERG-L3,synth-1,65536,65536,393216,176256,2.230900,0.4482,22888,ok
FK-MERG-L3,synth-1,131072,65536,786432,518376,1.517100,0.6592,35048,ok
FK-MERG-L3,synth-1,262144,65536,1572864,1626570,0.967000,1.0341,59748,ok
FK-MERG-L3,synth-1,524288,65536,3145728,5984921,0.525600,1.9026,108892,ok
FK-MERG-L4,synth-1,65536,65536,393216,173761,2.263000,0.4419,22872,ok
FK-MERG-L4,synth-1,131072,65536,786432,502181,1.566000,0.6386,35180,ok
FK-MERG-L4,synth-1,262144,65536,1572864,1612357,0.975500,1.0251,59844,ok
FK-MERG-L4,synth-1,524288,65536,3145728,6030526,0.521600,1.9172,108916,ok
FK-SORT-L3,synth-1,65536,65536,393216,355077,1.476500,0.6773,22908,ok
FK-SORT-L3,synth-1,131072,65536,786432,1218698,0.860400,1.1623,35160,ok
FK-SORT-L3,synth-1,262144,65536,1572864,4624798,0.453500,2.2051,59896,ok
FK-SORT-L3,synth-1,524288,65536,3145728,19296885,0.217400,4.5998,109048,ok
FK-SORT-L4,synth-1,65536,65536,393216,294119,1.782600,0.5610,22952,ok
FK-SORT-L4,synth-1,131072,65536,786432,1028356,1.019700,0.9807,35308,ok
FK-SORT-L4,synth-1,262144,65536,1572864,4048938,0.518000,1.9305,59784,ok
FK-SORT-L4,synth-1,524288,65536,3145728,17092155,0.245400,4.0750,108912,ok
NFK-JOIN-L3,synth-1,65536,65536,393216,1004271,0.391500,2.5543,22888,ok
NFK-JOIN-L3,synth-1,131072,65536,786432,3051434,0.257700,3.8805,35160,ok
NFK-JOIN-L3,synth-1,262144,65536,1572864,10941978,0.143700,6.9589,59744,ok
NFK-JOIN-L3,synth-1,524288,65536,3145728,43477965,0.072400,13.8122,108900,ok
NFK-JOIN-L3,synth-1,1048576,65536,6291456,184397923,0.034100,29.3255,207212,ok
NFK-JOIN-L3,synth-1,2097152,65536,12582912,790324310,0.015900,62.8931,403824,ok
NFK-JOIN-L3,synth-1,4194304,65536,25165824,3480238245,0.007200,138.8889,797088,ok
FK-SORT-L4,synth-1,8388608,65536,50331648,6831531602,0.009800,102.0408,1583440,ok
NFK-JOIN-L3,synth-1,8388608,65536,50331648,17003126568,0.003000,333.3333,1583432,ok
FK-MERG-L3,synth-1,33554432,65536,67108864,10352571274,0.006500,153.8462,3156472,ok
FK-MERG-L4,synth-1,33554432,65536,67108864,11816565932,0.005700,175.4386,3156324,ok
