alg,num-threads,window-size,batch-size,mean,median,stdev
1,1,1024,128,0.099752,0.098729,0.003334
1,1,2048,128,0.213189,0.210863,0.00629
1,1,4096,128,0.541575,0.536251,0.014773
1,1,8192,128,1.376852,1.37628,0.010909
1,1,16384,128,3.05554,3.08879,0.109932
1,1,32768,128,5.001556,4.97223,0.217573
1,1,65536,128,9.590826,9.5893,0.313042
1,1,131072,128,23.00446,23.1232,0.505424
1,1,262144,128,64.29942,64.2996,0.268122
1,1,524288,128,143.3014,143.299,0.250009
1,1,1048576,128,357.1752,356.573,2.023538
1,1,2097152,128,946.7784,964.308,72.353543
1,1,4194304,128,2564.484,2564.11,17.573717
1,1,1024,512,0.102917,0.101724,0.00202
1,1,2048,512,0.171154,0.216619,0.064749
1,1,4096,512,0.602358,0.60256,0.004694
1,1,8192,512,1.49392,1.49705,0.010385
1,1,16384,512,3.28408,3.35091,0.199157
1,1,32768,512,5.943132,6.10296,0.368006
1,1,65536,512,9.790434,9.88525,0.482028
1,1,131072,512,19.51972,19.5261,0.280071
1,1,262144,512,52.15476,49.8193,5.612441
1,1,524288,512,109.9886,109.411,1.062209
1,1,1048576,512,297.15,281.724,36.466229
1,1,2097152,512,862.4564,861.596,5.99901
1,1,4194304,512,2593.322,2556.01,55.421026
1,1,1024,1024,0.099797,0.099404,0.007033
1,1,2048,1024,0.230945,0.228527,0.009781
1,1,4096,1024,0.599413,0.609249,0.03407
1,1,8192,1024,1.53493,1.53276,0.014785
1,1,16384,1024,3.345794,3.45514,0.204388
1,1,32768,1024,5.64293,5.68686,0.140471
1,1,65536,1024,10.2336,10.2244,0.147153
1,1,131072,1024,22.31306,23.7216,2.379781
1,1,262144,1024,56.4904,50.8709,8.334551
1,1,524288,1024,131.886,145.187,18.705397
1,1,1048576,1024,314.3244,288.891,40.036749
1,1,2097152,1024,906.1098,876.464,71.693249
1,1,4194304,1024,2575.272,2566.88,41.614182
2,1,1024,128,0.078468,0.078614,0.001223
2,1,2048,128,0.135561,0.141139,0.016721
2,1,4096,128,0.283246,0.283329,0.002639
2,1,8192,128,0.606008,0.625963,0.055026
2,1,16384,128,1.344052,1.34425,0.009997
2,1,32768,128,2.56956,2.64578,0.395333
2,1,65536,128,4.808774,4.84303,0.144212
2,1,131072,128,8.75219,8.75381,0.052851
2,1,262144,128,24.16586,24.1183,0.198278
2,1,524288,128,66.41366,66.4248,0.067911
2,1,1048576,128,141.518,147.471,14.758812
2,1,2097152,128,354.3438,382.868,39.750329
2,1,4194304,128,972.6202,929.694,72.591835
2,1,1024,512,0.065513,0.088915,0.039428
2,1,2048,512,0.126468,0.117483,0.056199
2,1,4096,512,0.317192,0.313667,0.007864
2,1,8192,512,0.70614,0.707874,0.010531
2,1,16384,512,1.51877,1.52725,0.027248
2,1,32768,512,2.996584,3.32407,0.48284
2,1,65536,512,4.541612,4.4889,0.319589
2,1,131072,512,8.524246,8.15872,0.52295
2,1,262144,512,21.8366,19.8161,2.954497
2,1,524288,512,61.58732,67.0308,7.795486
2,1,1048576,512,130.447,119.215,16.988972
2,1,2097152,512,354.8844,380.581,39.60336
2,1,4194304,512,999.8732,1000.13,73.342421
2,1,1024,1024,0.090562,0.10545,0.026329
2,1,2048,1024,0.1979,0.195149,0.013383
2,1,4096,1024,0.346145,0.348087,0.006136
2,1,8192,1024,0.759801,0.759158,0.002738
2,1,16384,1024,1.63781,1.63959,0.006722
2,1,32768,1024,2.859754,2.60627,0.364113
2,1,65536,1024,4.423658,4.47837,0.594438
2,1,131072,1024,9.13869,9.32029,0.484408
2,1,262144,1024,25.3427,25.1894,0.276646
2,1,524288,1024,67.91864,67.9132,0.052907
2,1,1048576,1024,150.6976,150.869,0.821256
2,1,2097152,1024,370.8272,385.943,34.250882
2,1,4194304,1024,973.4042,927.525,72.757194
3,1,1024,128,1.084468,1.08301,0.020896
3,1,2048,128,2.43956,2.41864,0.051062
3,1,4096,128,5.420852,5.40427,0.077637
3,1,8192,128,11.21438,11.1052,0.451272
3,1,16384,128,18.0733,19.2557,3.82036
3,1,32768,128,28.2081,30.3016,3.501281
3,1,65536,128,56.48358,56.5657,0.184848
3,1,131072,128,122.198,121.67,1.418077
3,1,262144,128,266.2686,266.628,2.728744
3,1,524288,128,589.274,587.94,4.462816
3,1,1048576,128,983.9914,951.745,297.166767
3,1,2097152,128,1639.018,1560.62,187.48385
3,1,4194304,128,3506.604,3413.96,154.465156
3,1,1024,512,1.109506,1.08648,0.036998
3,1,2048,512,2.42501,2.42757,0.008654
3,1,4096,512,5.425786,5.42926,0.044409
3,1,8192,512,9.686298,11.4943,3.128406
3,1,16384,512,15.794974,15.4342,4.914241
3,1,32768,512,30.30398,30.8237,1.459453
3,1,65536,512,44.52866,41.168,12.664907
3,1,131072,512,120.5396,120.588,0.377336
3,1,262144,512,241.0292,266.132,56.583179
3,1,524288,512,419.9482,312.013,152.142312
3,1,1048576,512,933.9184,697.445,324.042549
3,1,2097152,512,1542.558,1559.0,27.313624
3,1,4194304,512,3404.192,3400.49,10.051028
3,1,1024,1024,1.107814,1.09701,0.035399
3,1,2048,1024,2.288132,2.44787,0.373054
3,1,4096,1024,5.463464,5.46657,0.023521
3,1,8192,1024,11.43448,11.2449,0.707538
3,1,16384,1024,19.62762,19.4861,0.980675
3,1,32768,1024,31.0965,31.2041,0.879863
3,1,65536,1024,46.97626,40.938,8.659623
3,1,131072,1024,99.51314,119.717,28.825883
3,1,262144,1024,192.5454,143.525,69.664409
3,1,524288,1024,473.6414,575.199,145.676331
3,1,1048576,1024,926.5884,697.749,321.331896
3,1,2097152,1024,1675.864,1569.34,257.216125
3,1,4194304,1024,3525.296,3480.74,97.073397
7,1,1024,128,0.106604,0.151919,0.063196
7,1,2048,128,0.270065,0.315093,0.066814
7,1,4096,128,0.6657,0.663954,0.007246
7,1,8192,128,1.418366,1.41869,0.029819
7,1,16384,128,3.110834,3.04466,0.255757
7,1,32768,128,4.428088,4.5617,0.465823
7,1,65536,128,7.090102,7.09,0.11
7,1,131072,128,10.877118,11.5459,1.297631
7,1,262144,128,21.17112,25.2634,5.684137
7,1,524288,128,45.31498,53.8997,11.980505
7,1,1048576,128,115.9274,116.429,2.233503
7,1,2097152,128,214.6444,255.215,56.088315
7,1,4194304,128,544.5836,531.935,19.298835
7,1,1024,512,0.154234,0.154503,0.000868
7,1,2048,512,0.326325,0.321912,0.007915
7,1,4096,512,0.671955,0.669754,0.006504
7,1,8192,512,1.426874,1.43795,0.024928
7,1,16384,512,3.027814,3.00695,0.17429
7,1,32768,512,4.996486,5.25103,0.707057
7,1,65536,512,7.266794,7.21618,0.304839
7,1,131072,512,11.9935,11.9541,0.09986
7,1,262144,512,25.2543,25.1733,0.203408
7,1,524288,512,54.16108,54.1231,0.521101
7,1,1048576,512,115.1968,116.051,2.863746
7,1,2097152,512,254.5946,254.588,0.89031
7,1,4194304,512,511.7926,563.614,101.020196
7,1,1024,1024,0.154769,0.154473,0.001352
7,1,2048,1024,0.323486,0.321875,0.002798
7,1,4096,1024,0.672623,0.672149,0.005334
7,1,8192,1024,1.438238,1.43922,0.027557
7,1,16384,1024,2.972936,3.0,0.090535
7,1,32768,1024,4.453202,4.3379,0.211461
7,1,65536,1024,6.367284,6.66477,0.806601
7,1,131072,1024,11.100106,11.8508,1.252413
7,1,262144,1024,18.75468,14.9003,5.371424
7,1,524288,1024,44.74254,53.6857,12.343473
7,1,1048576,1024,97.36518,109.523,24.426587
7,1,2097152,1024,193.1308,158.677,48.395602
7,1,4194304,1024,431.4386,356.059,105.435508
