algorithm,window,batch,threads,pin,input-tuples,time,throughput,latency,matches,status
FK-MERG-L4,4194304,16384,1,none,393216,25946330,0.015155,65.9849,50724864,ok
FK-MERG-L4,4194304,16384,2,none,393216,15441521,0.025465,39.2698,50724864,ok
FK-MERG-L4,4194304,16384,4,none,393216,9181889,0.042825,23.3508,50724864,ok
FK-MERG-L4,4194304,16384,8,none,393216,5699236,0.068995,14.4939,50724864,ok
FK-MERG-L4,4194304,16384,16,none,393216,4601431,0.085455,11.7020,50724864,ok
FK-MERG-L4,4194304,16384,20,none,393216,4875632,0.080649,12.3994,50724864,ok
FK-MERG-L4,4194304,16384,32,none,393216,4296152,0.091527,10.9257,50724864,ok
FK-MERG-L3,4194304,16384,1,none,393216,25442727,0.015455,64.7042,50724864,ok
FK-MERG-L3,4194304,16384,2,none,393216,16789568,0.023420,42.6981,50724864,ok
FK-MERG-L3,4194304,16384,4,none,393216,8582605,0.045815,21.8267,50724864,ok
FK-MERG-L3,4194304,16384,8,none,393216,6001802,0.065516,15.2634,50724864,ok
FK-MERG-L3,4194304,16384,16,none,393216,4584042,0.085779,11.6578,50724864,ok
FK-MERG-L3,4194304,16384,20,none,393216,4941587,0.079573,12.5671,50724864,ok
FK-MERG-L3,4194304,16384,32,none,393216,4273810,0.092006,10.8689,50724864,ok
FK-SORT-L4,4194304,16384,1,none,393216,82374543,0.004774,209.4893,375999,ok
FK-SORT-L4,4194304,16384,2,none,393216,46987009,0.008369,119.4941,375999,ok
FK-SORT-L4,4194304,16384,4,none,393216,26586558,0.014790,67.6131,375999,ok
FK-SORT-L4,4194304,16384,8,none,393216,17282646,0.022752,43.9520,375999,ok
FK-SORT-L4,4194304,16384,16,none,393216,11490974,0.034220,29.2231,375999,ok
FK-SORT-L4,4194304,16384,20,none,393216,12988957,0.030273,33.0326,375999,ok
FK-SORT-L4,4194304,16384,32,none,393216,10185793,0.038604,25.9038,375999,ok
FK-SORT-L3,4194304,16384,1,none,393216,91803300,0.004283,233.4679,375999,ok
FK-SORT-L3,4194304,16384,2,none,393216,59578483,0.006600,151.5159,375999,ok
FK-SORT-L3,4194304,16384,4,none,393216,32636789,0.012048,82.9996,375999,ok
FK-SORT-L3,4194304,16384,8,none,393216,21047782,0.018682,53.5273,375999,ok
FK-SORT-L3,4194304,16384,16,none,393216,14169586,0.027751,36.0351,375999,ok
FK-SORT-L3,4194304,16384,20,none,393216,15138927,0.025974,38.5003,375999,ok
FK-SORT-L3,4194304,16384,32,none,393216,12431487,0.031631,31.6149,375999,ok
FK-MERG-L4,4194304,16384,1,0,393216,25913113,0.015174,65.9005,50724864,ok
FK-MERG-L4,4194304,16384,2,0,393216,15341874,0.025630,39.0164,50724864,ok
FK-MERG-L4,4194304,16384,4,0,393216,8793247,0.044718,22.3624,50724864,ok
FK-MERG-L4,4194304,16384,8,0,393216,5184728,0.075841,13.1854,50724864,ok
FK-MERG-L4,4194304,16384,16,0,393216,3763074,0.104493,9.5700,50724864,ok
FK-MERG-L4,4194304,16384,20,0,393216,3555468,0.110595,9.0420,50724864,ok
FK-MERG-L4,4194304,16384,32,0,393216,3534478,0.111252,8.9886,50724864,ok
FK-MERG-L3,4194304,16384,1,0,393216,24602124,0.015983,62.5664,50724864,ok
FK-MERG-L3,4194304,16384,2,0,393216,15563140,0.025266,39.5791,50724864,ok
FK-MERG-L3,4194304,16384,4,0,393216,8916304,0.044101,22.6753,50724864,ok
FK-MERG-L3,4194304,16384,8,0,393216,5282003,0.074444,13.4328,50724864,ok
FK-MERG-L3,4194304,16384,16,0,393216,3745711,0.104978,9.5258,50724864,ok
FK-MERG-L3,4194304,16384,20,0,393216,3514204,0.111893,8.9371,50724864,ok
FK-MERG-L3,4194304,16384,32,0,393216,3485692,0.112809,8.8646,50724864,ok
FK-SORT-L4,4194304,16384,1,0,393216,82899404,0.004743,210.8241,375999,ok
FK-SORT-L4,4194304,16384,2,0,393216,48295087,0.008142,122.8208,375999,ok
FK-SORT-L4,4194304,16384,4,0,393216,27457511,0.014321,69.8281,375999,ok
FK-SORT-L4,4194304,16384,8,0,393216,15806878,0.024876,40.1990,375999,ok
FK-SORT-L4,4194304,16384,16,0,393216,11926823,0.032969,30.3315,375999,ok
FK-SORT-L4,4194304,16384,20,0,393216,11611140,0.033865,29.5287,375999,ok
FK-SORT-L4,4194304,16384,32,0,393216,11951109,0.032902,30.3932,375999,ok
FK-SORT-L3,4194304,16384,1,0,393216,90394533,0.004350,229.8852,375999,ok
FK-SORT-L3,4194304,16384,2,0,393216,57914415,0.006790,147.2840,375999,ok
FK-SORT-L3,4194304,16384,4,0,393216,31879987,0.012334,81.0750,375999,ok
FK-SORT-L3,4194304,16384,8,0,393216,19774218,0.019885,50.2884,375999,ok
FK-SORT-L3,4194304,16384,16,0,393216,13838232,0.028415,35.1924,375999,ok
FK-SORT-L3,4194304,16384,20,0,393216,14724538,0.026705,37.4464,375999,ok
FK-SORT-L3,4194304,16384,32,0,393216,14384043,0.027337,36.5805,375999,ok
FK-MERG-L2,4194304,1,1,none,24,25231274,0.000001,1051303.0833,50331660,ok
FK-MERG-L2,4194304,1,2,none,24,17261299,0.000001,719220.7917,50331660,ok
FK-MERG-L2,4194304,1,4,none,24,8866503,0.000003,369437.6250,50331660,ok
FK-MERG-L2,4194304,1,8,none,24,5902342,0.000004,245930.9167,50331660,ok
FK-MERG-L2,4194304,1,16,none,24,4355783,0.000006,181490.9583,50331660,ok
FK-MERG-L2,4194304,1,20,none,24,4861905,0.000005,202579.3750,50331660,ok
FK-MERG-L2,4194304,1,32,none,24,3935706,0.000006,163987.7500,50331660,ok
FK-SORT-L2,4194304,1,1,none,24,91885713,0.000000,3828571.3750,24,ok
FK-SORT-L2,4194304,1,2,none,24,66112955,0.000000,2754706.4583,24,ok
FK-SORT-L2,4194304,1,4,none,24,33059580,0.000001,1377482.5000,24,ok
FK-SORT-L2,4194304,1,8,none,24,21053481,0.000001,877228.3750,24,ok
FK-SORT-L2,4194304,1,16,none,24,13908918,0.000002,579538.2500,24,ok
FK-SORT-L2,4194304,1,20,none,24,14520464,0.000002,605019.3333,24,ok
FK-SORT-L2,4194304,1,32,none,24,12778629,0.000002,532442.8750,24,ok
FK-MERG-L2,4194304,1,1,0,24,29177199,0.000001,1215716.6250,50331660,ok
FK-MERG-L2,4194304,1,2,0,24,16097479,0.000001,670728.2917,50331660,ok
FK-MERG-L2,4194304,1,4,0,24,8590323,0.000003,357930.1250,50331660,ok
FK-MERG-L2,4194304,1,8,0,24,5019555,0.000005,209148.1250,50331660,ok
FK-MERG-L2,4194304,1,16,0,24,3663571,0.000007,152648.7917,50331660,ok
FK-MERG-L2,4194304,1,20,0,24,3561938,0.000007,148414.0833,50331660,ok
FK-MERG-L2,4194304,1,32,0,24,3381849,0.000007,140910.3750,50331660,ok
FK-SORT-L2,4194304,1,1,0,24,91008474,0.000000,3792019.7500,24,ok
FK-SORT-L2,4194304,1,2,0,24,58215956,0.000000,2425664.8333,24,ok
FK-SORT-L2,4194304,1,4,0,24,32840559,0.000001,1368356.6250,24,ok
FK-SORT-L2,4194304,1,8,0,24,19424982,0.000001,809374.2500,24,ok
FK-SORT-L2,4194304,1,16,0,24,14067356,0.000002,586139.8333,24,ok
FK-SORT-L2,4194304,1,20,0,24,14845445,0.000002,618560.2083,24,ok
FK-SORT-L2,4194304,1,32,0,24,14346526,0.000002,597771.9167,24,ok
